City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Pangai,TO,-19.8,-174.35,80.6,65,20,21.92,few clouds
144,Pergamino,AR,-33.89,-60.57,64.99,50,82,4.0,broken clouds
145,College,US,64.86,-147.8,-15.0,68,20,0.94,few clouds
146,Puerto Baquerizo Moreno,EC,-0.9,-89.6,68.09,81,99,12.86,overcast clouds
147,Ylojarvi,FI,61.56,23.6,43.0,87,90,13.87,overcast clouds
148,San Quintin,MX,30.48,-115.95,66.36,77,0,7.2,clear sky
149,Bucerias,MX,20.75,-105.33,82.4,65,5,5.82,clear sky
150,Aktas,KZ,49.78,72.96,17.6,85,0,6.71,clear sky
151,Ajaccio,FR,42.0,8.92,53.6,93,0,5.82,clear sky
152,Hobart,AU,-42.88,147.33,60.01,44,75,3.36,broken clouds
153,Bograd,RU,54.23,90.83,33.8,59,0,24.61,clear sky
154,Esso,RU,55.93,158.7,25.38,91,99,6.46,overcast clouds
155,San Juan,AR,-31.54,-68.54,77.9,31,100,18.72,overcast clouds
156,Nosy Varika,MG,-20.58,48.53,73.06,78,92,6.89,overcast clouds
157,Port Elizabeth,ZA,-33.92,25.57,66.2,93,75,5.82,broken clouds
158,Lavrentiya,RU,65.58,-171.0,33.6,95,100,19.01,overcast clouds
159,Pandan,PH,14.05,124.17,82.2,80,100,9.84,moderate rain
160,Coihaique,CL,-45.58,-72.07,44.6,75,75,3.36,broken clouds
161,Bathsheba,BB,13.22,-59.52,80.6,78,40,18.34,shower rain
162,Leningradskiy,RU,69.38,178.42,12.13,88,100,8.99,overcast clouds
163,Ribeira Grande,PT,38.52,-28.7,61.29,72,84,22.88,broken clouds
164,Orzhytsya,UA,49.79,32.7,43.92,93,0,2.42,clear sky
165,Klaksvik,FO,62.23,-6.59,50.0,93,57,27.51,broken clouds
166,Lasa,IT,46.62,10.7,51.01,93,75,9.17,broken clouds
167,Ancud,CL,-41.87,-73.82,51.01,93,75,11.41,light intensity shower rain
168,Sitka,US,57.05,-135.33,42.8,81,90,9.31,overcast clouds
169,Port Augusta,AU,-32.5,137.77,64.0,55,75,14.99,broken clouds
170,Sao Mateus,BR,-18.72,-39.86,69.01,95,100,1.59,light rain
171,Amahai,ID,-3.33,128.92,85.21,66,13,3.91,few clouds
172,Airai,TL,-8.93,125.41,81.5,31,11,4.56,few clouds
173,Playa Vicente,MX,17.83,-95.82,68.65,91,100,6.69,light rain
174,Jacareacanga,BR,-6.22,-57.75,76.53,85,4,0.6,light rain
175,Sulangan,PH,11.14,123.72,79.72,81,100,3.36,overcast clouds
