City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Mahebourg,MU,2020-11-04 03:15:12,-20.41,57.7,73.4,64,40,8.05
116,Kapaa,US,2020-11-04 03:11:12,22.08,-159.32,80.6,83,40,12.75
117,Thompson,CA,2020-11-04 03:15:01,55.74,-97.86,23.0,100,90,3.36
118,Kem,RU,2020-11-04 03:21:22,64.96,34.58,42.75,76,93,11.36
119,Chokurdakh,RU,2020-11-04 03:14:53,70.63,147.92,-16.11,82,0,3.18
120,Bethel,US,2020-11-04 03:15:00,41.37,-73.41,35.6,74,90,2.17
121,Alofi,NU,2020-11-04 03:15:27,-19.06,-169.92,80.6,69,75,23.04
122,Sorland,NO,2020-11-04 03:15:23,67.67,12.69,45.82,80,100,35.19
123,Katsuura,JP,2020-11-04 03:12:52,35.13,140.3,63.0,44,20,4.7
124,Izhma,RU,2020-11-04 03:21:23,65.01,53.91,42.35,84,96,13.29
125,Klaksvik,FO,2020-11-04 03:16:10,62.23,-6.59,42.8,75,90,18.34
126,Puksoozero,RU,2020-11-04 03:21:23,62.59,40.61,44.53,89,98,10.71
127,Blitar,ID,2020-11-04 03:19:11,-8.1,112.17,86.4,56,10,5.99
128,Umkomaas,ZA,2020-11-04 03:21:23,-30.21,30.8,71.01,95,3,3.33
129,Cherskiy,RU,2020-11-04 03:14:38,68.75,161.3,-5.13,85,0,4.03
130,Arraial Do Cabo,BR,2020-11-04 03:14:49,-22.97,-42.03,68.52,83,100,20.76
131,Dikson,RU,2020-11-04 03:14:47,73.51,80.55,2.68,92,0,7.27
132,Alice Springs,AU,2020-11-04 03:13:11,-23.7,133.88,96.8,7,0,9.17
133,Ahuimanu,US,2020-11-04 03:21:24,21.44,-157.84,86.0,83,75,8.05
134,Namatanai,PG,2020-11-04 03:21:24,-3.67,152.43,87.21,65,79,5.14
135,Alyangula,AU,2020-11-04 03:21:24,-13.85,136.42,91.4,52,100,11.41
136,Santa Rosa,PH,2020-11-04 03:15:46,14.31,121.11,84.2,74,75,8.05
137,Mana,GF,2020-11-04 03:21:25,5.66,-53.78,79.29,87,88,8.88
138,Lekoni,GA,2020-11-04 03:21:25,-1.58,14.26,71.71,90,100,1.48
139,Tucumcari,US,2020-11-04 03:21:25,35.17,-103.72,59.0,41,1,10.29
140,Umea,SE,2020-11-04 03:21:25,63.83,20.26,30.2,100,20,3.36
141,Vieste,IT,2020-11-04 03:16:12,41.88,16.18,51.01,93,40,8.05
142,Isangel,VU,2020-11-04 03:15:45,-19.55,169.27,76.87,78,100,9.17
143,Ati,TD,2020-11-04 03:21:26,13.22,18.34,80.94,21,25,12.37
144,Kaithal,IN,2020-11-04 03:21:26,29.8,76.38,68.99,23,0,1.81
145,Jamestown,US,2020-11-04 03:14:43,42.1,-79.24,43.0,65,1,6.93
146,Koslan,RU,2020-11-04 03:21:26,63.46,48.9,41.07,90,100,12.26
147,Korla,CN,2020-11-04 03:21:26,41.76,86.15,44.76,51,36,4.56
148,Saint-Philippe,RE,2020-11-04 03:14:41,-21.36,55.77,73.4,46,0,6.93
149,Amapa,BR,2020-11-04 03:21:27,1.0,-52.0,74.1,98,100,1.88
150,Dicabisagan,PH,2020-11-04 03:21:27,17.08,122.42,77.88,84,99,11.07
151,Linares,CL,2020-11-04 03:21:27,-35.85,-71.6,54.9,62,0,6.15
152,Mogadishu,SO,2020-11-04 03:16:54,2.04,45.34,78.96,81,100,7.43
153,Lompoc,US,2020-11-04 03:14:54,34.64,-120.46,57.99,93,75,5.82
154,Marsa Matruh,EG,2020-11-04 03:21:27,31.35,27.25,62.6,72,20,9.17
155,Broome,US,2020-11-04 03:21:28,42.25,-75.83,33.01,96,1,5.82
156,Khaniotis,GR,2020-11-04 03:21:28,40.0,23.58,62.01,82,98,4.47
157,Te Anau,NZ,2020-11-04 03:15:38,-45.42,167.72,63.16,73,80,5.61
158,Ribita,RO,2020-11-04 03:21:28,46.18,22.77,51.26,88,51,1.9
159,Yate,GB,2020-11-04 03:21:28,51.54,-2.42,39.0,91,0,1.95
160,Mabaruma,GY,2020-11-04 03:21:28,8.2,-59.78,74.14,98,100,2.82
161,Nabire,ID,2020-11-04 03:21:28,-3.37,135.48,82.9,71,100,8.41
162,Kirakira,SB,2020-11-04 03:21:29,-10.45,161.92,84.7,70,100,7.61
163,Tiksi,RU,2020-11-04 03:14:52,71.69,128.87,8.28,95,100,5.77
164,Pevek,RU,2020-11-04 03:14:50,69.7,170.31,-1.44,90,29,9.91
165,Ribeira Grande,PT,2020-11-04 03:15:23,38.52,-28.7,61.99,66,69,11.77
166,Yinchuan,CN,2020-11-04 03:21:29,38.47,106.27,50.95,39,3,1.86
167,Kaitangata,NZ,2020-11-04 03:14:43,-46.28,169.85,63.0,77,0,7.0
168,Saint-Francois,FR,2020-11-04 03:21:29,46.42,3.91,39.2,93,75,1.12
169,Santa Isabel,BR,2020-11-04 03:21:30,-23.32,-46.22,62.6,87,0,4.7
170,Iqaluit,CA,2020-11-04 03:14:33,63.75,-68.51,12.2,78,20,23.04
171,Hobbs,US,2020-11-04 03:21:30,32.7,-103.14,61.0,36,1,11.41
172,Altar,MX,2020-11-04 03:21:30,30.7,-111.82,73.99,35,100,2.46
173,Aswan,EG,2020-11-04 03:21:30,24.09,32.91,64.22,47,0,9.51
174,Asfi,MA,2020-11-04 03:16:13,32.3,-9.24,64.81,83,72,7.16
175,Mnogovershinnyy,RU,2020-11-04 03:21:31,53.94,139.92,16.16,94,100,25.52
176,Tual,ID,2020-11-04 03:15:24,-5.67,132.75,81.36,80,93,13.62
177,Morgan City,US,2020-11-04 03:19:22,29.7,-91.21,55.4,81,1,5.14
178,Upernavik,GL,2020-11-04 03:14:45,72.79,-56.15,17.35,96,100,12.08
179,Saint-Raymond,CA,2020-11-04 03:17:36,45.47,-73.61,32.0,58,24,2.24
180,Kamogawa,JP,2020-11-04 03:21:31,35.1,140.1,66.0,44,20,4.7
181,Lasa,IT,2020-11-04 03:16:00,46.62,10.7,42.8,93,75,5.82
182,Muhororo,UG,2020-11-04 03:21:32,0.94,30.76,61.72,96,5,2.26
183,Qom,IR,2020-11-04 03:21:32,34.64,50.88,51.42,42,55,3.6
184,Sechura,PE,2020-11-04 03:15:55,-5.56,-80.82,63.99,78,14,9.46
185,Severo-Yeniseyskiy,RU,2020-11-04 03:21:32,60.37,93.04,15.67,96,99,9.4
186,Codrington,AU,2020-11-04 03:15:18,-38.27,141.97,56.23,77,99,13.67
187,Oistins,BB,2020-11-04 03:21:32,13.07,-59.53,80.6,74,40,19.46
188,Bredasdorp,ZA,2020-11-04 03:21:32,-34.53,20.04,66.2,88,62,3.36
189,Sitka,US,2020-11-04 03:15:48,57.05,-135.33,37.4,86,90,12.75
190,Nanortalik,GL,2020-11-04 03:15:09,60.14,-45.24,38.3,87,100,19.77
191,Eau Claire,US,2020-11-04 03:21:33,44.81,-91.5,57.2,47,1,4.7
192,Lagoa,PT,2020-11-04 03:16:16,39.05,-27.98,61.3,66,93,14.65
